"Category","Classification","Matches","File"
"baseline","regenerate-or-update","2","baseline/phase-1-contract-freeze/architecture-runtime-reference.md"
"baseline","regenerate-or-update","12","baseline/phase-1-contract-freeze/cli-contract.json"
"baseline","regenerate-or-update","11","baseline/phase-1-contract-freeze/cli-contract.md"
"baseline","regenerate-or-update","72","baseline/phase-1-contract-freeze/environment-contract.json"
"baseline","regenerate-or-update","30","baseline/phase-1-contract-freeze/environment-contract.md"
"baseline","regenerate-or-update","1","baseline/phase-1-contract-freeze/go-ladybugdb-windows-proof.json"
"baseline","regenerate-or-update","8","baseline/phase-1-contract-freeze/go-owned-web-adapter-types.json"
"baseline","regenerate-or-update","5","baseline/phase-1-contract-freeze/go-owned-web-adapter-types.md"
"baseline","regenerate-or-update","1","baseline/phase-1-contract-freeze/go-tree-sitter-windows-proof.json"
"baseline","regenerate-or-update","3","baseline/phase-1-contract-freeze/http-contract.json"
"baseline","regenerate-or-update","3","baseline/phase-1-contract-freeze/http-contract.md"
"baseline","regenerate-or-update","14","baseline/phase-1-contract-freeze/ladybugdb-graph-contract.json"
"baseline","regenerate-or-update","5","baseline/phase-1-contract-freeze/ladybugdb-graph-contract.md"
"baseline","regenerate-or-update","18","baseline/phase-1-contract-freeze/mcp-contract.json"
"baseline","regenerate-or-update","15","baseline/phase-1-contract-freeze/mcp-contract.md"
"baseline","regenerate-or-update","3","baseline/phase-1-contract-freeze/README.md"
"baseline","regenerate-or-update","28","baseline/phase-1-contract-freeze/source-contract-snapshot.json"
"baseline","regenerate-or-update","10","baseline/phase-1-contract-freeze/web-ui-shared-contract.json"
"baseline","regenerate-or-update","9","baseline/phase-1-contract-freeze/web-ui-shared-contract.md"
"cli-command","rename-in-place","1","cmd/access-candidate-audit/main.go"
"cli-command","rename-in-place","1","cmd/avmatrix/main.go"
"cli-command","rename-in-place","2","cmd/property-access-audit/main.go"
"docs","update-active-or-preserve-history","289","docs/plans/2026-05-08-avmatrix-go-typescript-node-to-go-conversion-benchmark.md"
"docs","update-active-or-preserve-history","670","docs/plans/2026-05-08-avmatrix-go-typescript-node-to-go-conversion-evidence.md"
"docs","update-active-or-preserve-history","291","docs/plans/2026-05-08-avmatrix-go-typescript-node-to-go-conversion-plan.md"
"docs","update-active-or-preserve-history","659","docs/plans/2026-05-08-avmatrix-go-typescript-node-to-go-conversion-remaining-files.md"
"docs","update-active-or-preserve-history","25","docs/plans/2026-05-14-go-full-conversion-benchmark.md"
"docs","update-active-or-preserve-history","938","docs/plans/2026-05-14-go-full-conversion-evidence.md"
"docs","update-active-or-preserve-history","252","docs/plans/2026-05-14-go-full-conversion-plan.md"
"docs","update-active-or-preserve-history","5","docs/plans/2026-05-16-avmatrix-go-graph-accuracy-100-benchmark.md"
"docs","update-active-or-preserve-history","161","docs/plans/2026-05-16-avmatrix-go-graph-accuracy-100-evidence.md"
"docs","update-active-or-preserve-history","20","docs/plans/2026-05-16-avmatrix-go-graph-accuracy-100-plan.md"
"docs","update-active-or-preserve-history","213","docs/plans/2026-05-19-avmatrix-go-supported-language-property-ownership-member-access-graph-truth-benchmark.md"
"docs","update-active-or-preserve-history","328","docs/plans/2026-05-19-avmatrix-go-supported-language-property-ownership-member-access-graph-truth-evidence.md"
"docs","update-active-or-preserve-history","44","docs/plans/2026-05-19-avmatrix-go-supported-language-property-ownership-member-access-graph-truth-plan.md"
"docs","update-active-or-preserve-history","35","docs/plans/2026-05-19-avmatrix-multilanguage-graph-filters-and-coverage-benchmark.md"
"docs","update-active-or-preserve-history","170","docs/plans/2026-05-19-avmatrix-multilanguage-graph-filters-and-coverage-evidence.md"
"docs","update-active-or-preserve-history","44","docs/plans/2026-05-19-avmatrix-multilanguage-graph-filters-and-coverage-plan.md"
"docs","update-active-or-preserve-history","23","docs/plans/2026-05-19-web-ui-left-dashboard-graph-display-completeness-benchmark.md"
"docs","update-active-or-preserve-history","221","docs/plans/2026-05-19-web-ui-left-dashboard-graph-display-completeness-evidence.md"
"docs","update-active-or-preserve-history","23","docs/plans/2026-05-19-web-ui-left-dashboard-graph-display-completeness-plan.md"
"docs","update-active-or-preserve-history","29","docs/plans/2026-05-20-avmatrix-go-agent-context-generation-parity-benchmark.md"
"docs","update-active-or-preserve-history","138","docs/plans/2026-05-20-avmatrix-go-agent-context-generation-parity-evidence.md"
"docs","update-active-or-preserve-history","51","docs/plans/2026-05-20-avmatrix-go-agent-context-generation-parity-plan.md"
"docs","update-active-or-preserve-history","27","docs/plans/2026-05-20-avmatrix-orphan-node-connectivity-lens-benchmark.md"
"docs","update-active-or-preserve-history","263","docs/plans/2026-05-20-avmatrix-orphan-node-connectivity-lens-evidence.md"
"docs","update-active-or-preserve-history","20","docs/plans/2026-05-20-avmatrix-orphan-node-connectivity-lens-plan.md"
"docs","update-active-or-preserve-history","24","docs/plans/2026-05-20-avmatrix-web-filter-based-clustered-layout-manual-optimizer-benchmark.md"
"docs","update-active-or-preserve-history","124","docs/plans/2026-05-20-avmatrix-web-filter-based-clustered-layout-manual-optimizer-evidence.md"
"docs","update-active-or-preserve-history","11","docs/plans/2026-05-20-avmatrix-web-filter-based-clustered-layout-manual-optimizer-plan.md"
"docs","update-active-or-preserve-history","46","docs/plans/2026-05-21-avmatrix-exe-served-start-screen-benchmark.md"
"docs","update-active-or-preserve-history","114","docs/plans/2026-05-21-avmatrix-exe-served-start-screen-evidence.md"
"docs","update-active-or-preserve-history","101","docs/plans/2026-05-21-avmatrix-exe-served-start-screen-plan.md"
"docs","update-active-or-preserve-history","7","docs/plans/2026-05-21-avmatrix-graph-health-unknown-connectivity-separation-benchmark.md"
"docs","update-active-or-preserve-history","24","docs/plans/2026-05-21-avmatrix-graph-health-unknown-connectivity-separation-evidence.md"
"docs","update-active-or-preserve-history","18","docs/plans/2026-05-21-avmatrix-graph-health-unknown-connectivity-separation-plan.md"
"docs","update-active-or-preserve-history","22","docs/plans/2026-05-21-avmatrix-web-local-folder-picker-stuck-benchmark.md"
"docs","update-active-or-preserve-history","99","docs/plans/2026-05-21-avmatrix-web-local-folder-picker-stuck-evidence.md"
"docs","update-active-or-preserve-history","63","docs/plans/2026-05-21-avmatrix-web-local-folder-picker-stuck-plan.md"
"docs","update-active-or-preserve-history","267","docs/plans/2026-05-22-avmatrix-app-layer-resolution-gap-lens-benchmark.md"
"docs","update-active-or-preserve-history","386","docs/plans/2026-05-22-avmatrix-app-layer-resolution-gap-lens-evidence.md"
"docs","update-active-or-preserve-history","57","docs/plans/2026-05-22-avmatrix-app-layer-resolution-gap-lens-plan.md"
"docs","update-active-or-preserve-history","30","docs/plans/2026-05-23-avmatrix-skill-system-upgrade-benchmark.md"
"docs","update-active-or-preserve-history","717","docs/plans/2026-05-23-avmatrix-skill-system-upgrade-evidence.md"
"docs","update-active-or-preserve-history","195","docs/plans/2026-05-23-avmatrix-skill-system-upgrade-plan.md"
"docs","update-active-or-preserve-history","10","docs/plans/2026-05-26-avmatrix-runtime-lock-process-lifecycle-hardening-benchmark.md"
"docs","update-active-or-preserve-history","179","docs/plans/2026-05-26-avmatrix-runtime-lock-process-lifecycle-hardening-evidence.md"
"docs","update-active-or-preserve-history","31","docs/plans/2026-05-26-avmatrix-runtime-lock-process-lifecycle-hardening-plan.md"
"docs","update-active-or-preserve-history","5","docs/plans/2026-05-26-avmatrix-web-graph-node-spacing-overlap-hardening-benchmark.md"
"docs","update-active-or-preserve-history","175","docs/plans/2026-05-26-avmatrix-web-graph-node-spacing-overlap-hardening-evidence.md"
"docs","update-active-or-preserve-history","23","docs/plans/2026-05-26-avmatrix-web-graph-node-spacing-overlap-hardening-plan.md"
"docs","update-active-or-preserve-history","21","docs/plans/2026-05-27-avmatrix-web-graph-dynamic-scale-model-benchmark.md"
"docs","update-active-or-preserve-history","263","docs/plans/2026-05-27-avmatrix-web-graph-dynamic-scale-model-evidence.md"
"docs","update-active-or-preserve-history","108","docs/plans/2026-05-27-avmatrix-web-graph-dynamic-scale-model-plan.md"
"docs","update-active-or-preserve-history","14","docs/query-health/2026-05-22-avmatrix-app-layer-resolution-gap-suite.json"
"docs","update-active-or-preserve-history","6","docs/query-health/2026-05-23-avmatrix-skill-system-upgrade-suite.json"
"docs","update-active-or-preserve-history","15","docs/query-health/2026-05-26-avmatrix-skill-system-upgrade-p5-query-health.json"
"generated-contract","regenerate-from-generator","1","avmatrix-web/src/generated/avmatrix-contracts.ts"
"generated-contract","regenerate-from-generator","4","contracts/web-ui/avmatrix-web-contract.schema.json"
"generator-ai-context","edit-generator","85","internal/aicontext/aicontext_test.go"
"generator-ai-context","edit-generator","109","internal/aicontext/aicontext.go"
"generator-ai-context","edit-generator","14","internal/aicontext/skills/avmatrix-ai-context.md"
"generator-ai-context","edit-generator","11","internal/aicontext/skills/avmatrix-api-surface.md"
"generator-ai-context","edit-generator","50","internal/aicontext/skills/avmatrix-cli.md"
"generator-ai-context","edit-generator","10","internal/aicontext/skills/avmatrix-cross-repo.md"
"generator-ai-context","edit-generator","12","internal/aicontext/skills/avmatrix-debugging.md"
"generator-ai-context","edit-generator","15","internal/aicontext/skills/avmatrix-exploring.md"
"generator-ai-context","edit-generator","15","internal/aicontext/skills/avmatrix-graph-quality.md"
"generator-ai-context","edit-generator","32","internal/aicontext/skills/avmatrix-guide.md"
"generator-ai-context","edit-generator","6","internal/aicontext/skills/avmatrix-impact-analysis.md"
"generator-ai-context","edit-generator","7","internal/aicontext/skills/avmatrix-refactoring.md"
"generator-ai-context","edit-generator","18","internal/aicontext/skills/avmatrix-runtime-packaging.md"
"generator-source","edit-generator","1","cmd/generate-web-contracts/main.go"
"generator-source","edit-generator","14","cmd/graph-accuracy-probe/main.go"
"generator-source","edit-generator","5","internal/cli/group_command.go"
"generator-source","edit-generator","9","internal/cli/hook_command.go"
"generator-source","edit-generator","11","internal/cli/package_runtime.go"
"generator-source","edit-generator","4","internal/cli/resolution_inventory_command.go"
"generator-source","edit-generator","8","internal/cli/setup_command.go"
"generator-source","edit-generator","3","internal/cli/source_site_accuracy_command.go"
"generator-source","edit-generator","7","internal/contracts/legacy_contract_snapshot_conversion_test.go"
"generator-source","edit-generator","2","internal/contracts/web_ui_test.go"
"generator-source","edit-generator","10","internal/contracts/web_ui.go"
"generator-source","edit-generator","2","internal/group/http_contracts.go"
"generator-source","edit-generator","2","internal/group/monorepo_sync_test.go"
"generator-source","edit-generator","3","internal/group/query_test.go"
"generator-source","edit-generator","3","internal/group/query.go"
"generator-source","edit-generator","1","internal/group/status.go"
"generator-source","edit-generator","1","internal/group/storage.go"
"generator-source","edit-generator","3","internal/group/sync_benchmark_test.go"
"generator-source","edit-generator","4","internal/group/sync_test.go"
"generator-source","edit-generator","1","internal/group/sync.go"
"generator-source","edit-generator","1","internal/mcp/group_tools.go"
"generator-source","edit-generator","14","internal/mcp/prompts.go"
"generator-source","edit-generator","29","internal/mcp/resources.go"
"generator-source","edit-generator","16","internal/mcp/tools.go"
"generator-source","edit-generator","1","internal/repo/contract_shape_test.go"
"generator-source","edit-generator","4","internal/repo/identity_test.go"
"generator-source","edit-generator","16","internal/repo/lock_test.go"
"generator-source","edit-generator","2","internal/repo/lock.go"
"generator-source","edit-generator","1","internal/repo/meta_test.go"
"generator-source","edit-generator","3","internal/repo/paths_test.go"
"generator-source","edit-generator","2","internal/repo/paths.go"
"github-automation","rename-in-place","17",".github/workflows/ci-e2e.yml"
"launcher","rename-in-place","13","avmatrix-launcher/build.ps1"
"launcher","rename-in-place","1","avmatrix-launcher/server-wrapper/go.mod"
"launcher","rename-in-place","3","avmatrix-launcher/server-wrapper/main.go"
"launcher","rename-in-place","1","avmatrix-launcher/src/go.mod"
"launcher","rename-in-place","19","avmatrix-launcher/src/main_test.go"
